,Joy,Trust,Fear,Surprise,Sadness,Disgust,Anger,Anticipation
崇める,0.16410093,0.6205139,0.017000325,0.033071093,0.03054544,0.023503998,0.0027040767,0.011281714
飽き飽き,0,0,0,0,0,0.3,0.45000002,0.125
飽き足りる,0.33333334,0.33333334,0,0,0,0.26666668,0.40000004,0
諦め,0.08103175,0.037222225,0,0.1870635,0.35861903,0.16139683,0.020317461,0
諦める,0.2788016,0.11384921,0.004537037,0.11411905,0.22161904,0.10239683,0.023724869,0
飽きる,0.0053333337,0,0.052666668,0.09211111,0.07055555,0.31944442,0.28366667,0.026666667
呆れ返る,0,0,0,0,0,0.3,0,0
呆れ果てる,0,0,0,0.125,0.125,0.22500001,0,0
呆れる,0,0,0,0,0,0.3,0,0
悪感情,0.0022727272,0.0057560904,0,0,0.01079068,0.7934607,0.12726584,0
倦む,0.0053333337,0,0.052666668,0.09211111,0.07055555,0.31944442,0.28366667,0.026666667
憧れ,0.20281127,0.5352984,0.0030846072,0.044688776,0.003020687,0.008319392,0.0062220525,0.00013368984
憧れる,0.20233351,0.58082354,0.011010208,0.040559422,0.03853131,0.01484313,0.0027641403,0.0017968244
浅ましい,0.0147218015,0.10032185,0.011840196,0.13828294,0.05889105,0.30799368,0.106806435,0.0011495915
嘲る,0,0.0078125,0.011653646,0.19173178,0.00625,0.46128473,0.056119792,0
味気ない,0,0.00071428576,0.06532142,0.009542857,0.10584227,0.38125914,0.29566845,0.0021666666
焦り,0,0,0.2,0.4,0,0,0,0
焦る,0,0,0.2,0.4,0,0,0,0
唖然,0,0,0,0.34,0.1,0.120000005,0,0
頭に来る,0,0,0,0,0,0,1,0
頭を悩ませる,0,0,0.3,0.45000002,0,0,0,0
当たり散らす,0,0,0,0,0,0.1,0.9,0
あッ,0,0,0,0.6,0,0,0,0
あっけない,0.060000002,0,0,0.060000002,0,0.28000003,0.3,0
呆気に取られる,0,0,0,0.36,0,0.120000005,0,0
圧迫感,0,0,0,0,0.1,0.2,0.275,0.125
熱い,0.55485713,0.010833334,0,0.0794127,0.006984127,0.066857144,0.1470119,0.010317461
熱いものがこみ上げる,0.55,0,0,0,0.11666667,0,0.15,0
厚かましい,0.0020562771,0.0027417028,7.653061E-05,0.027361447,0.00030612247,0.5813594,0.2853185,0
熱くなる,0.69555557,0.013888889,0,0.08555555,0,0,0.053888887,0
暑苦しい,0,0,0,0,0.040000003,0.4,0.32000002,0
後味が良くない,0,0,0,0.120000005,0,0.24000001,0.28000003,0.040000003
後味が宜しくない,0,0,0,0.120000005,0,0.24000001,0.28000003,0.040000003
後味が悪い,0,0,0,0.120000005,0,0.24000001,0.28000003,0.040000003
侮る,0,0,0,0.26079366,0,0.38592595,0.0074074073,0
阿鼻叫喚,0,0,0,0.085714296,0.17142858,0.071428575,0.17142858,0.071428575
危ない,0.031893224,0.013553207,0.31929886,0.09169339,0.017670067,0.13177212,0.03950808,0.06975978
あほらしい,0.023263888,0.02779514,0.0015972223,0.19935964,0.08062997,0.26018733,0.0075386907,0.0032986111
荒々しい,0.24293557,0.0029409323,0.010828239,0.03824293,0.014497086,0.29070222,0.18699077,0.14006092
あらッ,0,0,0,0.6,0,0,0,0
ありがたい,0.15307143,0.58828574,0,0.00035714285,0,0,0,0
ありがたみ,0,0.7,0,0,0,0,0,0
ありがた迷惑,0,0,0,0.15,0,0.275,0.375,0
ありがと,0,0.7,0,0,0,0,0,0
ありがとう,0,0.7,0,0,0,0,0,0
ありゃ,0,0,0,0.6,0,0,0,0
慌てふためく,0.003,0,0.11388889,0.3531778,0.0016666667,0.10871428,0,0.109142855
慌てる,0,0,0.15,0.45000002,0,0,0,0
哀れ,0.025217488,0.19061226,0.023639588,0.18496123,0.07174614,0.088931195,0.0630573,0.003805022
憐れ,0.022824144,0.15791072,0.019721897,0.18512025,0.08764895,0.10912546,0.081334144,0.004064032
憐れみ,0.04102159,0.2936111,0.03661979,0.18440871,0.018098107,0.021862885,0.008311091,0.0014097744
憐れむ,0.033139683,0.29590687,0.10287408,0.16840212,0.006952381,0.0063650794,0.0021904763,0
安逸,0.6,0.075,0,0,0,0,0,0
暗鬱,0.0011419135,0.0032426368,0.17823415,0.013020379,0.26703745,0.19787343,0.16732918,0.007230252
安閑,0.35000002,0.15,0,0.1,0,0,0,0
案外,0,0,0,0.45000002,0,0.1,0.15,0
安心,0.329589,0.18221548,0.0022598628,0.07425919,0.0023899372,0.01297956,0.0068238997,0.0018417668
案ずる,0.0059297364,0.06462585,0.48006853,0.0128476,0.009532623,0.04238748,0.009536209,0.034605984
暗然,0,0,0.3,0,0.54,0,0,0
安息感,0.32500002,0.22500001,0,0.05,0,0,0,0
暗澹,0,0,0.44,0.1,0.3,0,0,0
安定,0.3871,0.0201,0.0048,0.19,0,0,0,0
安堵,0.28037038,0.11861112,0,0.10842592,0,0.04791667,0,0.0034722222
安寧,0.3472892,0.15706751,0.0039469367,0.09265676,0.0022222223,0.00040404042,0.0010606061,0.0027469501
安楽,0.4255609,0.18064827,0,0.03152405,0,0.00032051286,0,0
怡怡,0.65,0,0,0,0,0,0,0
言い寄る,0.1,0.325,0,0.075,0,0.1,0.15,0
いかがわしい,0.09118436,0.051346585,0.032576345,0.06035267,0.0038912785,0.5157598,0.1334842,0.00824515
厳つい,0,0,0,0,0,0.4,0.3,0.16666667
怒らす,0,0,0,0,0,0,1,0
怒り,0.034760993,0.0050874474,0.0024214885,0.0038307428,0.016638158,0.11357924,0.7936328,0.00061141304
怒りが爆発する,0.35999998,0,0,0,0,0,0.6,0
怒り狂う,0.3447474,0,0.015625,0.0009424603,0.019284733,0.10038479,0.44350296,0.015625
遺憾,0.061584234,0.07218649,0.0490569,0.18257175,0.14511316,0.16204035,0.05169261,0.0039209104
意外,0,0,0,0.5202319,0,0.10853382,0.020644927,0.002173913
啀み合う,0,0,0,0.075,0,0.575,0.25,0
啀む,0,0,0,0,0,0.6666667,0.33333334,0
息を詰める,0,0,0.34,0,0.120000005,0,0.120000005,0.060000002
息が詰まる,0,0,0.22,0,0.120000005,0.080000006,0.24000001,0.060000002
息苦しい,0,0,0,0,0.2,0.080000006,0.4,0
息苦しさ,0,0,0,0,0.2,0.080000006,0.4,0
意気軒昂,0.67499995,0.1,0,0.075,0,0,0,0
意気消沈,0.016697796,0.00078633,0.31405732,0.078002,0.39092025,0.053062107,0.047431797,0.010692006
憤り,0.028785642,0.004090238,0.0020898434,0.0054308814,0.018325256,0.17823672,0.72900784,0.0013484885
憤る,0.020541286,0.008639782,0.013947749,0.005370923,0.044321675,0.13775818,0.7292432,0.0008169935
行き悩む,0,0,0.26000002,0.28,0.18,0,0.040000003,0
生き恥,0,0,0,0.4,0,0,0.2,0
息巻く,0.225,0,0,0,0,0,0.75,0
熱り立つ,0.417,0,0,0,0,0,0.5366667,0
息を飲む,0.3857143,0,0.071428575,0.17142859,0,0.071428575,0,0.11428572
息を潜める,0,0,0.4,0,0,0.125,0,0.275
いけ好かない,0.0012276786,0.0006076389,0.01235965,0.011026852,0.0016087093,0.6474839,0.19535187,0
いけ図々しい,0.0020562771,0.0027417028,7.653061E-05,0.027361447,0.00030612247,0.5813594,0.2853185,0
依怙地になる,0,0,0.10000001,0.20000002,0,0.10000001,0.33333334,0
遺恨,0.017437898,0.009062338,0.0011431823,0.021402117,0.022632224,0.3954871,0.46155035,0.010764767
勇ましい,0.51835525,0.23863304,0,0.028421054,0.029298246,0.0010964912,0.028859649,0.0010964912
意趣,0.010760164,0.010491997,0.00814324,0.020140212,0.010979547,0.48485133,0.38896218,0.010132189
萎縮,0,0.004411765,0.28235295,0.06519608,0.01764706,0.10637255,0.078431375,0.10637255
意地汚い,0,0,0,0.050000004,0,0.6666667,0.15,0
意地悪,0.0104625225,0.011318947,0.0009283763,0.040883325,0.016027246,0.5728104,0.24566212,0.010841505
いそいそ,0.6,0,0,0,0,0,0,0
意想外,0,0,0,0.5202319,0,0.10853382,0.020644927,0.002173913
痛い,0.0055536204,0.022894673,0.06563712,0.006779337,0.3011472,0.08416034,0.23480333,0.006940825
痛々しい,0.03783413,0.18980855,0.020568104,0.20723298,0.054153454,0.08762269,0.049174212,0.002485119
居た堪れない,0,0.10000001,0,0.10000001,0,0.2,0.26666668,0.06666667
痛ましい,0.031420134,0.16339542,0.024074342,0.18464853,0.08326937,0.09496294,0.06960908,0.007440818
痛み,0.0041670892,0.014124394,0.08951656,0.048694637,0.29430282,0.012172989,0.18403707,0.0026942901
痛み入る,0,0.14,0.18,0,0,0.24000001,0,0
悼む,0.05622734,0.17073497,0.054874994,0.03041276,0.33343798,0.0730529,0.06273232,0.0025510206
痛める,0,0,0.011722223,0.002,0.26608333,0.040000003,0.3031389,0.005833334
いちゃもんを付ける,0,0.080000006,0,0.060000002,0,0.16000001,0.64,0
一憂,0,0,0.5,0,0.5,0,0,0
一喜,0.6,0,0,0,0,0,0,0
一驚,0.035553392,0.055495393,0.0005232335,0.52213323,0.008531346,0.01797379,0.0008333334,0.0027777778
慈しみ,0.2317707,0.4533196,0.0006852147,0.005584988,0.004896163,0.0010846561,0.0028826275,0
慈しむ,0.23333333,0.33333334,0,0.033333335,0,0,0,0
逸楽,0.6630771,0.07167195,0,7.836991E-05,0,0.0070881224,0.0036398466,0
厭う,0.0006993007,0.017393878,0.0001393534,0.0012066738,0.014307199,0.7941345,0.12879089,0
愛おしい,0.33154646,0.43310952,0.00064935064,0.011306244,0,0,0,0
愛おしむ,0.2646764,0.42462704,0.008787637,0.008494517,0.04001789,0.0063734576,0.032694124,0
愛しい,0.32329366,0.4252752,0.0004761905,0.01159091,0,0,0,0
愛しがる,0.27546117,0.40208787,0.009047705,0.0076873186,0.0417302,0.006487121,0.035209056,0
愛しさ,0.17500001,0.48749998,0,0,0,0,0,0
厭わしい,0.0073514376,0.0033459289,0.021675177,0.029958053,0.036771975,0.63486046,0.1575306,0.014727896
厭わしさ,0,0,0,0.075,0,0.825,0,0
畏怖,0.061450858,0.44053596,0.0859734,0.020090027,0.016777169,0.13699526,0.0035319696,0.122322105
忌忌しい,0.00072751316,0.0003600823,0.017465161,0.014284991,0.0044051814,0.5988289,0.25926733,0
忌忌しがる,0,0,0,0,0,0.825,0.075,0
忌まわしい,0.0086111855,0.0033923332,0.050211675,0.031862915,0.051134232,0.57485795,0.1433165,0.02659384
忌み嫌う,0.0006993007,0.017393878,0.0001393534,0.0012066738,0.014307199,0.7941345,0.12879089,0
忌む,0.00072727277,0.017256299,0.00014492753,0.0012549408,0.014641393,0.7930181,0.13024488,0
嫌,0.0031006013,0.009624891,0.014665853,0.015341025,0.028188778,0.71129084,0.1378614,0.0046988404
厭,0.00741499,0.008125495,0.0027505069,0.049139213,0.025869394,0.6430383,0.14748403,0.013327887
厭厭,0,0,0.05769231,0.05769231,0,0.56769234,0.24000001,0
厭がる,0.0006993007,0.017393878,0.0001393534,0.0012066738,0.014307199,0.7941345,0.12879089,0
嫌気,0.0013157894,0.010608476,0,0,0.0101202,0.7946045,0.13032511,0
卑しい,0.0024248562,0.008581618,0.0003776425,0.06132683,0.009525627,0.6340191,0.14359815,0.00010279605
卑しむ,0,0,0,0.26079366,0,0.38592595,0.0074074073,0
嫌味,0,0,0,0.060000002,0,0.72,0.060000002,0
厭らしい,0.04000467,0.02816058,0.00040059487,0.040101998,0.003639471,0.64595586,0.14409523,0.002593153
苛苛しい,0.001068314,5.4505817E-05,0.06466103,0.03960322,0.029835751,0.33068168,0.40000746,0.0054547433
苛苛する,0,0.00093750004,0.04544643,0.03361607,0.0026785715,0.2578125,0.5102232,0
苛立たしい,0.0023385012,4.8449616E-05,0.08379129,0.046887167,0.040471286,0.29326862,0.37941444,0.0072869323
苛立たしさ,0.026946237,0.00028642273,0.07889089,0.04357214,0.011262748,0.163237,0.57026494,0.002638604
苛立ち,0.026946237,0.00028642273,0.07889089,0.04357214,0.011262748,0.163237,0.57026494,0.002638604
苛立つ,0,0.00093750004,0.04544643,0.03361607,0.0026785715,0.2578125,0.5102232,0
苛立てる,0.047835495,0.012380953,0.13300145,0.14334777,0.030548342,0.109927855,0.3108117,0.0044191917
色を失う,0,0,0.3,0,0,0.25,0,0.25
色をなす,0,0,0,0,0,0,1,0
陰鬱,0.0014180988,0.0030390143,0.20794807,0.013002751,0.29240093,0.17359127,0.14937857,0.0077998643
陰気,0.0011289371,0.0032057888,0.17961784,0.013326965,0.26627567,0.1980112,0.16713226,0.0071480903
陰気臭い,0.0011038497,0.003134549,0.17229302,0.012586366,0.2581362,0.2097221,0.17308488,0.0069892434
陰惨,0.016430499,0.05289792,0.003926948,0.07898497,0.06309388,0.42976636,0.10611047,0.1089444
陰湿,0.002070744,0.0035656753,0.16039968,0.013123509,0.22713995,0.26135644,0.17616165,0.005342394
浮かされる,0.43333334,0.13333334,0,0,0.1,0,0.1,0
浮かぬ顔,0,0,0.4,0.2,0.2,0,0,0
浮かれる,0.62617385,0.04516216,0,0.0008095238,0,0,0,0
浮き足立つ,0,0,0.32857144,0,0,0.20000002,0.085714296,0.18571429
うきうきする,0.75,0.125,0,0,0,0,0,0
浮き立つ,0.6333333,0.11111111,0.08888889,0.044444446,0,0,0,0
憂き目,0.005501523,0.018535469,0.05413223,0.062090773,0.33111343,0.01779961,0.14590824,0.002756301
憂さ,0,0,0.5,0,0.5,0,0,0
胡散臭い,0.09710227,0.042651515,0.047469698,0.09763258,0.0018939395,0.44670454,0.12951516,0.017171716
後ろめたい,0.02335566,0.005020776,0.19294707,0.1726048,0.06798055,0.076097496,0.12229825,0.01934349
後ろめたさ,0,0,0.28000003,0.080000006,0,0.120000005,0.16000001,0.040000003
薄気味悪い,0.0019736842,0.0030701754,0.08442983,0.011184211,0,0.45460528,0.14495614,0.19700292
薄汚い,0.001355042,0.001949395,0.00687748,0.030548641,0.0086550005,0.6529841,0.17485929,0.00020833334
うずうず,0.9,0,0,0,0,0,0,0
打ち萎れる,0.10000001,0,0,0.26666668,0.26666668,0.10000001,0,0
打ち拉がれる,0.10000001,0,0,0.26666668,0.26666668,0.10000001,0,0
有頂天,0.6288175,0.06647254,0,0.00031250002,0,0,0,0
鬱気,0.00565726,0.0011487223,0.33708417,0.025758706,0.40265408,0.06396871,0.059077624,0.011822854
鬱屈,0,0,0.5,0,0.5,0,0,0
鬱散,0.5,0,0.16666667,0,0.16666667,0,0,0
鬱積,0,0,0.16666667,0,0.16666667,0.26666668,0.40000004,0
鬱陶しい,0.0013421968,0.0033432655,0.15667403,0.014912962,0.2225247,0.27865082,0.16797504,0.0057041426
鬱陶しさ,0,0,0.083333336,0,0.083333336,0.6166667,0.15,0
うっとり,0.70000005,0.28333336,0,0,0,0,0,0
鬱憤,0.02394525,0.0101092765,0.0016281686,0.010774588,0.028771421,0.2528291,0.6205715,0.006055325
鬱,0.00565726,0.0011487223,0.33708417,0.025758706,0.40265408,0.06396871,0.059077624,0.011822854
鬱鬱と,0,0,0.5,0,0.5,0,0,0
俯き,0,0,0.35555556,0.044444446,0.21111111,0.033333335,0.06666667,0
俯く,0,0,0.2857143,0.05714286,0.27142859,0.042857148,0.08571429,0
鬱悶,0,0,0.29000002,0.080000006,0.25,0,0.14,0
虚,0.005769231,0,0.21955128,0.13128205,0.42628205,0.07919872,0.013044872,0
疎ましい,0.0012053571,0.0018568032,0.046934854,0.019799314,0.06416501,0.59486943,0.1562771,0.00408826
疎む,0,0,0,0,0,0.825,0.075,0
疎んじる,0,0,0,0,0,0.825,0.075,0
疎んずる,0,0,0,0,0,0.825,0.075,0
美味い,0.4713292,0.40972233,0.00014880953,0.008327862,0,0,0,0
旨い,0.5950309,0.41635498,0,0.0053115436,0,0.0044573643,0.0025193798,0
上手い,0.54097825,0.41157216,0,0.0063443435,0,0.005324074,0.0030092592,0
呻き声,0,0,0,0,0.13333334,0.16666667,0.26666668,0.16666667
呻く,0.07045223,0.015884738,0.00026617825,0.034143567,0.2721995,0.020996505,0.26675177,0.02075548
敬う,0.1628671,0.6233672,0.016872505,0.032822434,0.030315775,0.023327276,0.0026837452,0.011196889
うら悲しい,0.00057854713,0.0029854712,0.13793373,0.0088165775,0.367674,0.10309533,0.13518095,0.006196431
うら淋しい,0.00017647058,0.0051911767,0.020709509,0.0074631036,0.31582484,0.0257246,0.28015533,0.0004528478
うら寂しい,0.00017647058,0.0051911767,0.020709509,0.0074631036,0.31582484,0.0257246,0.28015533,0.0004528478
恨み,0.017437898,0.009062338,0.0011431823,0.021402117,0.022632224,0.3954871,0.46155035,0.010764767
恨みがましい,0,0,0,0,0,0.45,0.45,0
恨む,0.040486198,0.013864538,0.002762446,0.04814331,0.31054226,0.37760428,0.11332261,0.00035511365
恨めしい,0.018130299,0.005702983,0.017956045,0.015811304,0.09954265,0.39344645,0.2244808,0.021817897
恨めしがる,0.042857148,0,0,0.042857148,0.042857148,0.37142858,0.32857144,0
恨めしく思う,0.042857148,0,0,0.042857148,0.042857148,0.37142858,0.32857144,0
羨ましい,0,0.05,0,0.0375,0.125,0.28750002,0.4,0
羨ましがる,0,0.03616042,0.0007100592,0.027120316,0.14257397,0.34225184,0.35908285,0
羨む,0,0.03616042,0.0007100592,0.027120316,0.14257397,0.34225184,0.35908285,0
五月蝿い,7.751938E-05,0.00036298757,0.063749015,0.0361693,0.019815097,0.40782675,0.32980564,0.017533548
麗しい,0.5196967,0.36409655,0.0001659292,0.016888535,0.00022123894,0.0014557522,0.0011615044,0
憂い,0.0041421177,0.022381954,0.25007847,0.02639066,0.21810126,0.0854154,0.10398812,0.028159153
愁い,0,0,0.46,0,0.22,0,0,0
愁え,0,0,0.46,0,0.22,0,0,0
憂える,0.0017739346,0.028086085,0.39156818,0.027929954,0.030670175,0.11594233,0.01633389,0.110254034
嬉しい,0.6730785,0.25363225,0,0.0056431517,0,0,0,0
嬉しかった,0.70000005,0.25,0,0,0,0,0,0
嬉しがらせ,0.70000005,0.25,0,0,0,0,0,0
嬉しがらせる,0.70000005,0.25,0,0,0,0,0,0
嬉しがる,0.70000005,0.25,0,0,0,0,0,0
嬉しさ,0.6525122,0.04017621,0,0,0,0,0,0
嬉し泣き,0.70000005,0.25,0,0,0,0,0,0
嬉し涙,0.70000005,0.25,0,0,0,0,0,0
嬉しみ,0.70000005,0.25,0,0,0,0,0,0
憂わしい,0,0.10000001,0.16666667,0.10000001,0.26666668,0.10000001,0,0
狼狽える,0,0,0.040000003,0.56000006,0,0,0,0
上擦る,0.54,0,0.040000003,0.080000006,0,0,0.2,0
うんざり,0,0,0,0,0,0.6,0.24000001,0
詠嘆,0.20233351,0.58082354,0.011010208,0.040559422,0.03853131,0.01484313,0.0027641403,0.0017968244
笑顔,0.5955049,0.159551,0,0,0,0.016887125,0,0
依怙贔屓,0.21935485,0.21935485,0,0,0,0.30860215,0.11290323,0
えッ,0,0,0,0.45000002,0,0.075,0,0
悦,0.64763504,0.036588922,0,0.0010204082,0,0,0,0
笑壺に入る,0.6,0,0,0,0,0,0,0
悦楽,0.65814024,0.044644207,0,0.00041187386,0,0,0,0
恵比寿顔,0.64000005,0.26,0,0,0,0,0,0
笑み,0.5955049,0.159551,0,0,0,0.016887125,0,0
笑む,0.5978388,0.17342491,0,0,0,0.002930403,0,0
厭悪,0.0015698653,0.012562244,0.00010064412,0.001241857,0.012537562,0.7748571,0.15157074,0
怨恨,0.019009491,0.008692084,0.0038017442,0.012075897,0.03873484,0.2937721,0.56781983,0.005877227
怨嗟,0.020594198,0.003216387,0.005362888,0.007496504,0.029448656,0.22918856,0.66580445,0.001618602
怨色,0,0,0,0,0,0.5,0.5,0
えーっ,0,0,0,0.45000002,0,0.075,0,0
おいおい,0,0,0,0.060000002,0.120000005,0.24000001,0,0
美味しい,0.5642656,0.29335314,0,0.010706364,0,0,0,0
謳歌,0.36012644,0.51071596,0.005474475,0.02965621,0.018961715,0.016817942,0,0
嘔吐,0,0,0,0,0.16666667,0.3214286,0.22619048,0
懊悩,0.00028409093,0.0028040272,0.18878427,0.10939995,0.14613989,0.0051524835,0.20445323,0.0024920255
大恥,0,0,0,0.4,0,0,0.2,0
大喜び,0.6624382,0.12839541,0,0.0040290463,0,0,0,0
嗚咽,0.034096505,0,0,0.0004947434,0.46928447,0.0003092146,0.13258538,0.0003092146
おぉ,0.25,0,0,0.45000002,0,0,0,0
おお,0.25,0,0,0.45000002,0,0,0,0
男男しい,0.4448077,0.30559117,0,0.027692309,0.02854701,0.0010683761,0.028119659,0.0010683761
岡惚れ,0.3,0.3,0,0,0.125,0,0.125,0
岡焼き,0,0.0011655012,0.023328673,0.00087412586,0.18738462,0.31268415,0.3765944,0
御気に入り,0.4625,0.3,0,0,0,0,0,0
お気に入り,0.4625,0.3,0,0,0,0,0,0
臆する,0,0,0.15,0.15,0,0.25,0,0.25
臆病,0.011470139,0.0014000001,0.048180554,0.19357686,0.08242338,0.27696618,0.07226806,0.108388886
臆面,0,0,0.3,0.10000001,0,0.16666667,0,0.16666667
臆面もなく,0,0.33333334,0,0,0,0.23333335,0.3,0
怒らせる,0,0,0,0,0,0,1,0
怒り出す,0,0,0,0,0,0,1,0
怒り付ける,0.008035715,0.02507653,0.06269133,0.008358844,0,0.00079365086,0.8300666,0
怒る,0.0087890625,0.021941965,0.054854915,0.0073139886,0.0020089287,0.015314981,0.83138645,0
惜しい,0.060000002,0,0,0.060000002,0.3,0.28,0.22,0
惜しがる,0.040486198,0.013864538,0.002762446,0.04814331,0.31054226,0.37760428,0.11332261,0.00035511365
惜し気,0.22500001,0,0,0.22500001,0.125,0.125,0,0
押し付けがましい,0,0,0,0,0,0.74,0.18,0
惜しむ,0.040478542,0.015310847,0.0061495537,0.0477989,0.3163025,0.36078566,0.11250132,0.00051153277
怖気付く,0,0,0.120000005,0,0,0.4,0,0.4
汚辱,0.0028071725,0,0.0024485597,0.24857397,0.08841496,0.09100873,0.28062212,0.0007870371
恐る恐る,0,0,0.010138889,0.0013888889,0.00055555557,0.48916668,0.0047222227,0.4851389
恐れ,0.0037834991,0.022035558,0.27944067,0.028390521,0.08686621,0.15574566,0.046042405,0.13453232
恐れ入る,0,0.25,0.075,0.075,0.075,0.2,0,0.125
恐れ多い,0,0.175,0.075,0.075,0.075,0.2,0,0.125
恐れる,0.0013161451,0.034458134,0.30989435,0.022559956,0.022755293,0.19099784,0.0121186925,0.1820349
恐ろしい,0.07193386,0.02998547,0.047657207,0.04268488,0.055531118,0.31222105,0.10495268,0.1996517
恐ろしがる,0.00016163793,0.05962164,0.19959317,0.020530377,0.014138177,0.2786428,0.00927142,0.26508403
恐ろしさ,0.0006406405,0.005611488,0.124705076,0.007964427,0.021532241,0.36888775,0.009876353,0.35598892
おぞましい,0.03134699,0.046824377,0.019680917,0.05951528,0.052635137,0.3712201,0.081014976,0.2097955
落ち着かない,0.15,0,0.33333334,0.06666667,0,0.050000004,0,0
落ち着き,0.34649956,0.17611702,0.006135659,0.077401884,0,0.0004310345,0,0.0036813954
落ち着き払う,0.33333334,0.20000002,0,0.06666667,0,0,0,0
落ち着く,0.35883334,0.10134616,0.00096153846,0.13226923,0.0056410255,0.0010256411,0.0026923078,0.0015384615
落ち着ける,0.33726853,0.1826389,0,0.091203704,0,0,0,0
おっ,0,0,0,0.6,0,0,0,0
おっかない,0.040051285,0.022792304,0.013362712,0.032539684,0.03773991,0.41917175,0.07499436,0.28012842
躍り上がる,0.38000003,0,0,0.24000001,0,0,0,0
おどろおどろしい,0.038930263,0.03210401,0.009410738,0.024447927,0.026653226,0.45923162,0.095598094,0.22804019
驚かす,0,0,0,0.6,0,0,0,0
驚き,0.047545202,0.11502154,0.0041810237,0.4236934,0.012422881,0.06533963,0.008146667,0.01948889
驚き呆れる,0,0,0,0.3,0,0.15,0,0
驚き入る,0,0,0,0.6,0,0,0,0
驚く,0.1253994,0.2856298,0.004185868,0.3212327,0.016167436,0.0037903227,0,0
戦き,0.12342049,0.0036423448,0.12631688,0.062252697,0.020590324,0.250144,0.013468122,0.24526261
戦く,0.07125019,0,0.08898701,0.07270789,0.027810033,0.2956622,0.012184417,0.30937365
怯え,0,0,0,0.15,0,0.375,0,0.375
怯え切る,0,0,0,0,0,0.5,0,0.5
怯える,0,0,0,0,0,0.5,0,0.5
思し召す,0.026540207,0.7253611,0.09593233,0.0004884005,0.0059044133,0.0292674,0.01805512,0
溺れる,0.14444445,0.08888889,0,0.033333335,0.2,0,0.2,0
怖めず臆せず,0.33333334,0.26666668,0,0.06666667,0,0,0,0
おめでたい,0.5,0.3,0,0,0,0,0,0
おめでとう,0.5,0.3,0,0,0,0,0,0
おもいがけない,0,0,0,0.6,0,0,0,0
思い屈する,0,0,0.33333334,0.16666667,0.5,0,0,0
思い焦がれる,0.080000006,0.28,0.1,0,0.24000001,0,0.18,0
思い詰める,0,0,0.46,0.24000001,0.1,0,0,0
思い悩む,0.00041446523,0.017069349,0.35186338,0.11492462,0.07395265,0.030819634,0.083836816,0.02227111
思い残す,0.040486198,0.013864538,0.002762446,0.04814331,0.31054226,0.37760428,0.11332261,0.00035511365
思いの外,0,0,0,0.6,0,0,0,0
思い惑う,0.006521739,0,0.20791927,0.3693323,0.007971015,0.038757764,0.023540372,0.022670807
思い迷う,0.006521739,0,0.20791927,0.3693323,0.007971015,0.038757764,0.023540372,0.022670807
思いも寄らず,0,0,0,0.6,0,0,0,0
思いも寄らない,0,0,0,0.51033336,0,0.1196632,0.028739585,0
思いも寄らぬ,0,0,0,0.6,0,0,0,0
思い遣り,0.06514833,0.2884486,0.09266899,0.09135628,0.035210177,0.028783513,0.013563661,0.0088176
思い遣る,0.08966954,0.32745323,0.10264027,0.06854834,0.019345364,0.010002475,0.013905801,0
